x0,x1,x2
8.90155,1.30707,0.397595
8.26436,5.32078,9.5631
4.61926,9.23738,3.73921
1.54973,8.92344,0.267897
2.91502,3.98744,8.07289
6.27094,9.07925,5.56397
8.39919,0.50488,8.06235
9.30816,3.6403,6.90948
1.29315,8.32686,3.18354
7.37202,5.9677,3.63707
7.94971,6.98481,8.21879
8.99466,8.31899,9.09958
9.74914,6.5612,8.1199
1.02744,2.37528,3.79345
6.99236,4.84945,4.15222
6.38662,7.5929,5.57523
6.93455,9.13259,0.246128
8.37378,3.83205,2.98771
0.0629709,4.37557,7.37937
3.7576,4.93249,0.140397
2.49437,3.47135,7.96687
9.38399,1.00522,7.35403
9.76437,7.05886,9.51765
9.27848,4.10031,3.38095
7.69108,3.34648,0.826867
8.98558,7.87335,7.17466
4.4399,7.50892,6.57898
3.60697,3.78323,6.49632
0.556368,0.782593,0.91903
8.05105,0.653075,2.24319
1.52133,6.80591,1.25959
2.57358,4.37968,1.09668
3.14566,3.50732,7.61143
0.988512,9.3146,3.26079
4.26636,2.70681,7.8811
4.53324,0.832358,0.703768
3.29749,1.92105,8.37865
0.616854,5.54235,5.70611
4.6211,9.48829,3.44774
8.84449,4.3104,9.9448
8.00503,9.41634,3.7948
4.05425,2.86888,4.50534
7.65111,5.79899,3.78123
6.22393,7.39173,9.13383
5.32104,5.17821,1.02587
1.2167,6.43697,4.45964
0.76325,1.52569,0.79508
8.79371,1.61474,9.22951
0.0357925,8.02602,3.03533
2.44754,7.68211,7.03482
8.86176,9.13142,2.25311
4.21484,1.65862,2.10835
8.39898,9.1545,6.81591
4.09257,2.22128,8.353
7.76737,7.37346,8.58702
9.72511,4.09959,5.97014
7.38442,2.6671,7.63133
9.30503,8.74689,1.16163
9.67289,3.02987,6.09016
1.67757,8.58426,7.26392
0.651175,5.18099,5.95486
4.57922,5.92242,3.19455
8.19832,0.92739,1.7687
2.20712,4.74093,9.17452
9.91536,6.04214,9.20558
3.66636,0.0780191,6.55017
1.68053,4.96458,7.90804
8.17961,3.66763,1.28743
1.97117,0.208957,6.33544
4.78618,2.12443,2.65478
1.88859,8.8981,7.16143
0.685731,2.45638,9.20355
2.04905,4.65882,7.63071
5.32366,5.51022,2.35131
2.75979,0.168461,4.22437
0.46998,0.591996,3.18984
4.43062,1.68582,3.01328
4.49403,4.73081,7.04221
7.0064,5.9365,9.72935
6.62178,8.77815,4.14335
7.98075,1.37978,2.61126
2.26797,5.32452,6.94716
2.43977,1.95099,7.90142
4.0538,4.35081,6.26384
6.78817,4.31454,2.95178
9.97285,1.97275,5.5796
4.73113,0.887563,3.1252
5.98679,0.492283,3.67983
1.28232,0.259928,7.32116
2.63194,7.1148,6.77435
8.20644,7.91006,6.0576
5.04003,4.30699,1.00841
4.86525,4.00395,5.87171
4.44159,2.33923,6.34212
2.29232,2.51451,9.78571
4.46603,0.808878,1.19797
4.62778,7.78486,3.98494
6.24482,7.98445,4.9455
0.373804,7.19206,6.93343
3.15462,8.36576,0.403984
